s - s;s - r;s - i;s - ri;s - o;s - ro;r - s;r - r;r - i;r - ri;r - o;r - ro;i - s;i - r;i - i;i - ri;i - o;i - ro;ri - s;ri - r;ri - i;ri - ri;ri - o;ri - ro;o - s;o - r;o - i;o - ri;o - o;o - ro;ro - s;ro - r;ro - i;ro - ri;ro - o;ro - ro;
48;48;48;48;48;48;47;48;47;47;48;46;48;48;48;48;48;48;45;48;45;45;48;48;48;48;48;48;48;48;47;48;47;47;48;47;
35;35;35;35;35;35;34;34;35;34;35;34;35;35;35;35;35;35;35;35;35;35;34;35;35;35;35;35;35;34;35;35;35;35;35;35;
73;73;73;73;73;73;71;72;69;70;72;68;71;73;71;71;73;71;70;73;70;70;73;70;72;73;72;72;73;71;73;73;73;73;73;73;
53;53;53;53;53;53;50;53;48;50;53;52;51;53;51;51;53;52;52;53;52;52;53;52;53;53;53;53;53;51;53;53;53;53;53;53;
66;66;66;66;66;66;64;66;63;63;66;65;66;66;66;66;66;66;65;66;65;65;66;66;66;66;66;66;66;65;66;66;66;66;66;65;
33;33;33;33;33;33;33;33;33;33;33;30;31;33;31;31;33;31;31;33;31;31;32;33;33;33;33;33;32;31;33;33;33;33;32;33;
45;45;45;45;45;45;44;45;44;44;45;43;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;
27;28;27;27;28;28;27;28;25;26;28;28;27;28;27;27;28;27;27;28;27;27;27;27;27;28;27;27;28;28;28;28;28;28;28;28;
43;43;43;43;43;43;41;43;43;42;43;42;43;43;43;43;43;43;42;43;42;42;43;42;43;43;43;43;43;43;43;43;43;43;43;42;
36;36;36;36;36;36;35;36;35;36;35;34;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;34;35;36;35;35;36;35;
57;57;57;57;57;57;54;57;55;56;57;54;56;57;56;56;57;56;55;57;55;55;57;55;57;57;57;57;57;56;57;57;57;57;57;57;
43;43;43;43;43;43;41;43;42;41;43;40;42;43;42;42;43;42;40;43;40;40;43;43;43;43;43;43;43;42;43;43;43;43;43;42;
45;46;45;45;46;46;46;45;45;46;46;45;45;46;45;45;46;45;44;46;44;44;45;45;46;46;46;46;46;46;46;46;46;46;46;46;
49;49;49;49;49;49;48;49;46;48;47;45;49;49;49;49;49;49;48;49;48;48;49;46;49;49;49;49;49;48;49;49;49;49;49;49;
69;71;69;69;71;70;65;70;66;69;70;67;68;71;68;68;71;69;70;71;70;70;70;70;70;71;70;70;71;71;71;71;71;71;71;71;
56;56;56;56;56;56;52;56;55;53;56;55;56;56;56;56;56;56;54;56;54;54;56;55;56;56;56;56;56;56;56;56;56;56;56;56;
8;8;8;8;8;8;8;8;8;8;8;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;
59;59;59;59;59;59;55;58;58;58;59;55;57;59;57;57;59;58;58;59;58;58;59;57;58;59;58;58;59;58;58;58;58;58;59;58;
31;31;31;31;31;31;28;31;30;29;31;29;31;31;31;31;31;31;29;31;29;29;31;30;31;31;31;31;31;30;31;31;31;31;31;31;
52;52;52;52;52;52;50;51;48;50;52;46;51;52;51;51;52;51;50;52;50;50;52;50;50;52;50;50;52;50;52;52;52;52;52;50;
