"s - s";"s - r";"s - i";"s - ri";"s - o";"s - ro";"r - s";"r - r";"r - i";"r - ri";"r - o";"r - ro";"i - s";"i - r";"i - i";"i - ri";"i - o";"i - ro";"ri - s";"ri - r";"ri - i";"ri - ri";"ri - o";"ri - ro";"o - s";"o - r";"o - i";"o - ri";"o - o";"o - ro";"ro - s";"ro - r";"ro - i";"ro - ri";"ro - o";"ro - ro"
45;43;44;44;45;44;42;42;42;40;42;41;44;44;44;44;44;44;42;43;41;41;43;44;44;45;44;43;45;43;42;42;41;42;42;41
44;44;44;45;44;44;41;43;44;42;44;43;46;44;45;44;44;44;41;43;41;41;43;40;43;44;45;43;46;44;43;42;41;43;43;42
36;36;36;36;36;35;36;35;37;36;35;38;36;36;36;36;36;36;36;33;34;35;35;34;36;36;36;36;36;36;34;35;35;34;35;35
43;41;42;43;45;42;41;44;42;43;43;40;41;41;41;42;41;42;40;40;42;39;43;40;43;44;45;41;45;42;40;40;40;40;40;39
44;42;44;43;45;42;44;40;45;42;44;43;42;41;43;42;43;42;43;41;45;41;43;38;45;44;43;44;45;42;38;41;39;37;40;38
42;42;42;42;43;42;41;40;42;42;42;42;42;42;42;41;42;41;37;40;37;36;39;38;42;44;43;42;45;41;40;39;42;40;42;40
43;43;43;44;44;43;43;40;43;43;41;43;46;45;47;44;45;46;42;42;40;41;41;40;43;43;44;42;43;44;42;43;41;42;41;41
45;45;45;45;45;44;40;42;41;40;42;42;42;43;43;43;44;43;40;41;37;41;40;40;44;44;43;45;43;43;43;42;43;41;42;43
45;44;44;44;46;44;42;40;41;39;43;38;43;44;43;43;44;43;45;43;41;44;44;39;46;46;46;46;47;45;40;41;40;40;40;38
45;44;46;44;45;44;42;45;40;44;44;41;44;44;44;44;44;44;39;42;41;42;42;38;43;46;45;42;47;44;42;43;42;43;44;40
43;42;44;44;44;42;41;43;46;40;42;41;44;41;44;42;43;43;38;39;42;38;40;36;45;42;45;42;44;44;39;40;39;39;41;38
43;42;42;44;45;41;45;41;45;41;40;43;42;40;41;43;43;40;39;41;44;41;41;42;45;44;45;44;44;45;41;41;43;40;41;41
45;45;44;45;45;44;42;41;43;40;42;39;45;45;45;44;45;44;41;41;41;39;42;39;46;46;45;43;44;45;41;42;41;42;41;42
45;45;45;45;45;44;43;42;41;41;42;40;42;42;42;41;43;41;40;43;40;39;41;38;43;42;44;41;43;41;43;41;42;42;42;40
37;37;39;37;38;36;35;38;35;34;35;34;37;36;37;36;37;37;33;35;34;34;36;32;38;38;37;37;38;37;34;33;37;34;34;35
43;45;44;45;46;41;43;42;41;44;43;39;44;44;43;43;43;44;42;42;42;43;42;42;42;44;45;43;45;42;41;41;41;43;43;41
45;42;45;43;45;44;41;41;42;38;43;42;45;44;45;44;44;45;38;40;40;38;42;36;43;42;44;44;44;41;41;44;40;41;42;40
44;45;44;44;46;44;42;41;44;40;44;40;42;41;42;39;42;38;43;42;43;44;43;43;44;45;44;45;44;43;43;42;42;41;42;40
44;44;44;44;44;45;41;41;44;42;41;41;44;43;44;42;44;44;43;41;42;41;42;42;45;44;44;44;44;44;41;41;41;40;41;41
40;39;40;41;43;38;37;42;39;41;42;39;40;40;39;39;40;39;37;40;40;39;41;38;43;42;44;40;43;43;39;37;38;37;41;38
